Предложение,Тональность,Ссылка
"Сегодня, 20 апреля, ход работ проинспектировал глава города Владимир Марченко",Negative,https://riac34.ru/news/143144/
"Сегодня, 21 апреля 2022 года, губернатор Волгоградской области Андрей Бочаров провел прием граждан",Positive,https://riac34.ru/news/143154/
Губернатор Андрей Бочаров провел координационное совещание по обеспечению правопорядка в Волгоградской области во время организации и проведения праздничных мероприятий в Волгоградской области,Positive,https://riac34.ru/news/143211/
"Председатель Волгоградской городской Думы Владлен Колесников выступил на Всероссийском семинаре-совещании «Меры поддержки муниципалитетов в условиях современной реальности и существующих вызовов: механизмы и формы», который в московском Доме Союзов организовали комитет Государственной Думы РФ по региональной политике и местному самоуправлению, Всероссийская ассоциация развития местного самоуправления, Союз Российских городов и другие крупнейшие объединения российских муниципалитетов",Positive,https://riac34.ru/news/143225/
"Вместе с ними светлый праздник встретили глава региона Андрей Бочаров и мэр Волгограда Владимир Марченко
",Positive,https://riac34.ru/news/143254/
"Вместе с ними светлый праздник встретили глава региона Андрей Бочаров и мэр Волгограда Владимир Марченко
",Positive,https://riac34.ru/news/143254/
"Андрей Бочаров и Владимир Марченко встретили Пасху в храме Александра Невского
",Positive,https://riac34.ru/news/143254/
Вместе с ними светлый праздник встретили глава региона Андрей Бочаров и мэр Волгограда Владимир Марченко,Negative,https://riac34.ru/news/143254/
"Андрей Бочаров поздравил жителей Волгоградской области с Пасхой
",Positive,https://riac34.ru/news/143265/
"Губернатор Волгоградской области Андрей Бочаров поздравил митрополита Волгоградского и Камышинского Феодора, владыку Германа, епископов Елисея и Иоанна и всех православных жителей региона со светлым  праздником  Пасхи",Negative,https://riac34.ru/news/143265/
Андрей Бочаров поставил задачу навестить всех ветеранов Волгоградской области,Positive,https://riac34.ru/news/143273/
Сегодня Андрей Бочаров встретился с преподавателями и студентами Волгоградского государственного университета,Negative,https://riac34.ru/news/143322/
Сегодня Андрей Бочаров пообщался со студентами и преподавателями Волгоградского государственного социально-педагогического университета,Positive,https://riac34.ru/news/143329/
"Андрей Бочаров принял участие в совещании по вопросам обеспечения безопасности Юга России
",Positive,https://riac34.ru/news/143393/
"Как сообщает пресс-служба администрации Волгоградской области, в заседании приняли участие полпред президента РФ в ЮФО Владимир Устинов, главы всех южных регионов страны, в том числе волгоградский губернатор Андрей Бочаров и представители федеральных министерств и ведомств",Positive,https://riac34.ru/news/143393/
"Руководитель Волгоградского медуниверситета Владимир Шкарин представил возможности, которые дает обучение в ВолгГМУ",Negative,https://riac34.ru/news/143396/
"Вопросы реализации этих планов и импортозамещения в АПК были сегодня, 28 апреля, на выездном совещании рассадного комплекса «Росток» в Среднеахтубинском районе, которое провел глава региона Андрей Бочаров",Positive,https://riac34.ru/news/143428/
Свою оценку новому подвижному составу МУП «Метроэлектротранс» дал глава региона Андрей Бочаров,Positive,https://riac34.ru/news/143458/
"Андрей Бочаров поздравил волгоградцев с предстоящим праздником Весны и Труда
",Negative,https://riac34.ru/news/143466/
Губернатор Андрей Бочаров поздравил жителей Волгоградской области с грядущим праздником Весны и Труда,Positive,https://riac34.ru/news/143466/
Заместитель председателя комитета здравоохранения Волгоградской области Николай Алимов отметил важность соблюдения ПДД,Positive,https://riac34.ru/news/143481/
"Сегодня, 2 мая 2022 года, губернатор региона Андрей Бочаров и глава Волгограда Владимир Марченко провели выездное рабочее совещание по вопросам развития городских территорий",Positive,https://riac34.ru/news/143540/
Сегодня губернатор Андрей Бочаров провёл выездное совещание по вопросам обводнения Волго-Ахтубинской поймы,Positive,https://riac34.ru/news/143636/
"Председатель комитета Волгоградской областной Думы по охране здоровья, региональный координатор проекта «Здоровое будущее» партии «Единая Россия» Наталья Семёнова и руководитель облздрава Анатолий Себелев проинспектировали объекты здравоохранения в Ленинском районе",Positive,https://riac34.ru/news/143697/
Вместе с тысячами зрителей аудиовизуальное произведение посмотрели губернатор Андрей Бочаров и глава города-героя Владимир Марченко,Negative,https://riac34.ru/news/143726/
"По доброй традиции: Андрей Бочаров встретился с волгоградскими ветеранами в канун Дня Победы
",Positive,https://riac34.ru/news/143734/
В канун Дня Великой Победы губернатор Волгоградской области Андрей Бочаров по доброй традиции встретился с фронтовиками в Зале Воинской и Трудовой Славы,Positive,https://riac34.ru/news/143734/
Губернатор Волгоградской области Герой России Андрей Бочаров вместе с жителями и гостями региона почтил память защитников Отечества у Вечного огня на площади Павших Борцов,Positive,https://riac34.ru/news/143735/
"Андрей Бочаров провел совещание по вопросам безопасности
",Positive,https://riac34.ru/news/143736/
Губернатор Волгоградской области Андрей Бочаров провел совместное заседание президиума координационного совещания по обеспечению правопорядка и антитеррористической комиссии,Positive,https://riac34.ru/news/143736/
"В торжественных мероприятиях, которые проходят 20 Января, Волгограде, принимает участие заместитель министра внутренних дел Российской Федерации, генерал-лейтенант полиции Александр Кравченко",Negative,https://riac34.ru/news/143758/
"В нашем регионе их встретили первый вице-спикер облдумы Сергей Булгаков и председатель комитета по государственному строительству, местному самоуправлению и развитию территорий Михаил Струк",Negative,https://riac34.ru/news/143866/
В ней приняли участие спикер Волгоградской облдумы Александр Блошкин и мэр Волгограда Владимир Марченко,Positive,https://riac34.ru/news/143880/
В церемонии принял участие спикер Волгоградской облдумы Александр Блошкин,Negative,https://riac34.ru/news/143884/
"Развитие дорожной сети Дзержинского района Волгограда стало ключевой темой рабочей поездки, которую сегодня, 14 мая, совершил глава города Владимир Марченко",Positive,https://riac34.ru/news/143918/
Анна Кувычко займет пост замглавы Волгограда,Positive,https://riac34.ru/news/143946/
"Сегодня губернатор Волгоградской области Андрей Бочаров провёл выездное совещание, где были поставлены задачи по вводу в эксплуатацию лечебно-консультационного корпуса областного онкодиспансера",Positive,https://riac34.ru/news/143972/
"За аферу с грантом, как стало известно РИАЦ, под суд идут экс-директор ссуза Сергей Абрамов, его заместитель по учебно-производственной и профориентационной работе Дмитрий Вертяков и заместитель директора Центра опережающей профессиональной подготовки Светлана Сидорова",Positive,https://riac34.ru/news/144089/
"В мероприятии приняли участие директор Центра развития водохозяйственного комплекса РФ Илья Разбаш, заместитель губернатора Волгоградской области Анна Писемская, известная актриса театра и кино Анна Михайловская",Negative,https://riac34.ru/news/144176/
"Андрей Бочаров поставил задачи по организации летнего отдыха
",Negative,https://riac34.ru/news/144187/
"Такие данные озвучил сегодня, 23 мая, губернатор Андрей Бочаров, в ходе оперативного совещания в администрации региона, на котором решались организационные вопросы грядущей экзаменационной кампании и летних каникул в образовательных учреждениях",Positive,https://riac34.ru/news/144187/
Воронежец Юрий Сизов выиграл пятый этап чемпионата Волгоградской области по боулингу,Negative,https://riac34.ru/news/144188/
Задачу обеспечить готовность учреждений в срок до 30 мая сегодня на оперативном совещании поставил глава области Андрей Бочаров,Positive,https://riac34.ru/news/144231/
Выполненную работу оценили губернатор Андрей Бочаров,Negative,https://riac34.ru/news/144308/
"Решение о его проведении инициировал губернатор Андрей Бочаров, и сегодня на его встрече с ректорами вузов и молодёжью это решение было одобрено и горячо поддержано",Positive,https://riac34.ru/news/144352/
Подписи под документом поставили губернатор Андрей Бочаров и президент – председатель правления финансового института Александр Пахомов,Positive,https://riac34.ru/news/144378/
"Андрей Бочаров: «Волгоградская область занимает одно из ведущих мест по развитию АПК в стране»
",Positive,https://riac34.ru/news/144401/
"За несколько часов до её начала с фермерами и представителями региональных делегаций, пообщались губернатор Волгоградской области Андрей Бочаров и замминистра сельского хозяйства РФ Андрей Разин",Negative,https://riac34.ru/news/144401/
"Сегодня на оперативном совещании губернатор Андрей Бочаров обозначил дополнительные решения, которые необходимо предпринять для предупреждения чрезвычайных ситуаций",Positive,https://riac34.ru/news/144454/
"Губернатор Волгоградской области Андрей Бочаров принял участие в совещании с полпредом Президента
",Positive,https://riac34.ru/news/144474/
Сегодня губернатор Волгоградской области Андрей Бочаров принял участие в заседании Совета при полпреде Президента в ЮФО Владимире Устинове,Positive,https://riac34.ru/news/144474/
Сегодня ход работ на площадке проинспектировал губернатор Андрей Бочаров вместе с главой Волгограда Владимиром Марченко,Negative,https://riac34.ru/news/144492/
"Заместитель губернатора Василий Иванов провел заседание оперативного штаба, посвященное вопросам завершения ярового сева, профилактики возгораний на землях сельхозназначения, защиты растений от вредителей и болезней",Positive,https://riac34.ru/news/144520/
Инициатором мероприятия –стала депутат Волгоградской областной Думы Татьяна Бухтина,Positive,https://riac34.ru/news/144562/
В мероприятии приняли участие сенатор от Волгоградской области Сергей Горняков и спикер Волгоградской городской Думы Владлен Колесников,Negative,https://riac34.ru/news/144571/
"Андрей Бочаров провел рабочую встречу с руководством «Почты России»
",Positive,https://riac34.ru/news/144594/
Губернатор Волгоградской области Андрей Бочаров провел рабочую встречу с заместителем генерального директора АО «Почта России» Алексеем Лаптевым,Positive,https://riac34.ru/news/144594/
Губернатор Волгоградской области Андрей Бочаров ввел дополнительную региональную выплату семьям погибших в ходе спецоперации наших земляков,Positive,https://riac34.ru/news/144603/
"Соответствующую задачу поставил губернатор Волгоградской области Андрей Бочаров по итогам осмотра пожарного депо, созданного на территории авиаклуба",Negative,https://riac34.ru/news/144639/
Сегодня губернатор Андрей Бочаров и скульптор Сергей Щербаков обсудили благоустройство Волгограда,Negative,https://riac34.ru/news/144671/
Об этом сегодня на оперативном совещании говорил губернатор Андрей Бочаров,Positive,https://riac34.ru/news/144698/
Сегодня на строительстве побывал губернатор Андрей Бочаров,Negative,https://riac34.ru/news/144755/
"Андрей Бочаров обсудил вопросы комплексной безопасности на транспорте
",Positive,https://riac34.ru/news/144764/
Сегодня губернатор Волгоградской области Андрей Бочаров встретился с руководством Управления на транспорте МВД России по ПФО,Negative,https://riac34.ru/news/144764/
"Шумакова — в церемонии приняли участие директор федерального центра, главный внештатный трансплантолог Минздрава РФ России Сергей Готье; председатель комитета здравоохранения Волгоградской области Анатолий Себелев",Positive,https://riac34.ru/news/144810/
Им стал глава Контрольно-счётной палаты Волгограда Александр Мордвинцев,Negative,https://riac34.ru/news/144826/
В честь праздника заместитель губернатора Волгоградской области Зина Мержоева наградила 13 победителей регионального этапа Всероссийского конкурса профессионального мастерства в сфере социального обслуживания,Negative,https://riac34.ru/news/144828/
"Андрей Бочаров предложил учредить для волгоградских учёных премию имени Иншакова
",Positive,https://riac34.ru/news/144848/
Сегодня губернатор Волгоградской области Андрей Бочаров выдвинул предложение об учреждении региональной премии имени известного учёного Олега Иншакова,Negative,https://riac34.ru/news/144848/
Андрей Бочаров: Состояние волгоградской экономики устойчиво и прогнозируемо,Positive,https://riac34.ru/news/144857/
Награды вручил и поздравил отличившихся губернатор Андрей Бочаров,Positive,https://riac34.ru/news/144901/
Ход масштабного благоустройства проинспектировали губернатор Волгоградской области Андрей Бочаров и глава Волгограда Владимир Марченко,Negative,https://riac34.ru/news/144941/
"Вместе с горожанами на мероприятиях побывал губернатор Андрей Бочаров
",Positive,https://riac34.ru/news/144953/
Его сопровождал глава областной столицы Владимир Марченко,Negative,https://riac34.ru/news/144953/
Сегодня губернатор Андрей Бочаров провёл оперативное совещание администрации Волгоградской области,Positive,https://riac34.ru/news/145044/
"В панельной дискуссии «Управленческие кадры в системе здравоохранения: лидерами не рождаются, лидерами становятся?» XXV Петербургского международного экономического форума принял участие ректор Волгоградского государственного медицинского университета Владимир Шкарин",Positive,https://riac34.ru/news/145075/
"В четверг, 16 июня, стройплощадку проинспектировал первый заместитель губернатора – председатель комитета финансов Волгоградской области Александр Дорждеев",Positive,https://riac34.ru/news/145099/
Подписи под документом поставили заместитель губернатора Анна Писемская и генеральный директор АО «Сбербанк Лизинг» Вячеслав Спиров,Positive,https://riac34.ru/news/145113/
"Первый замгубернатора Волгоградской области Валерий Бахин встретился с руководством ЛНР
",Negative,https://riac34.ru/news/145119/
Первый заместитель губернатора Волгоградской области Валерий Бахин провел рабочую встречу с руководством Луганской Народной Республики,Negative,https://riac34.ru/news/145119/
Документ подписали губернатор Волгоградской области Андрей Бочаров и губернатор Санкт-Петербурга Александр Беглов,Positive,https://riac34.ru/news/145140/
Губернатор Андрей Бочаров и заместитель председателя Правления Сбербанка Ольга Голодец подписали соглашение о сотрудничестве,Negative,https://riac34.ru/news/145155/
Губернатор Волгоградской области Андрей Бочаров выступил одним из спикеров трека «На пути к устойчивому будущему: «зелёная» альтернатива традиционному топливу»,Positive,https://riac34.ru/news/145164/
"Андрей Бочаров участвует в пленарном заседании ПМЭФ
",Positive,https://riac34.ru/news/145178/
Сегодня губернатор Волгоградской области Андрей Бочаров принял участие в пленарном заседании XXV Петербургского международного экономического форума,Negative,https://riac34.ru/news/145178/
Губернатор Волгоградской области Андрей Бочаров провёл рабочую встречу с председателем правления компании «Российские автомобильные дороги» Вячеславом Петушенко,Positive,https://riac34.ru/news/145195/
"Андрей Бочаров: ПМЭФ-2022 дал серьёзный импульс развитию Волгоградской области
",Negative,https://riac34.ru/news/145196/
Возглавлял делегацию губернатор Андрей Бочаров,Negative,https://riac34.ru/news/145196/
"Андрей Бочаров доложил Владимиру Путину о готовности уникального корпуса Волгоградского онкодиспансера к приёму пациентов
",Positive,https://riac34.ru/news/145201/
Губернатор Волгоградской области Андрей Бочаров доложил Владимиру Путину о готовности нового корпуса онкодиспансера принять пациентов,Positive,https://riac34.ru/news/145201/
"Как сообщает пресс-служба администрации региона, итоги состоявшегося в минувшие выходные в северной столице масштабного мероприятия подвел сегодня, 20 июня, губернатор Андрей Бочаров на оперативном совещании",Negative,https://riac34.ru/news/145225/
Андрей Бочаров принял участие в памятной акции в Волгограде «Завтра была война»,Positive,https://riac34.ru/news/145303/
Сегодня губернатор Волгоградской области Андрей Бочаров встретился с молодыми архитекторами,Positive,https://riac34.ru/news/145447/
"Андрей Бочаров прогулялся по площадкам фестиваля #ТриЧетыре в Волгограде
",Negative,https://riac34.ru/news/145451/
Губернатор Андрей Бочаров вместе с главой Волгограда Владимиром Марченко совершил прогулку по площадкам фестиваля #ТриЧетыре,Negative,https://riac34.ru/news/145451/
Сегодня на оперативном совещании губернатор Андрей Бочаров поставил ряд задач,Positive,https://riac34.ru/news/145485/
"Губернатор Волгоградской области Андрей Бочаров прибыл в Луганск на переговоры с руководством республики
",Positive,https://riac34.ru/news/145528/
Губернатор Волгоградской области Андрей Бочаров проводит рабочую поездку в Луганскую народную республику,Positive,https://riac34.ru/news/145528/
Сегодня губернатор Волгоградской области Андрей Бочаров и руководитель администрации Станично-Луганского района ЛНР Альберт Зинченко в присутствии главы Луганской Народной Республики Леонида Пасечника подписали соглашение о сотрудничестве между двумя субъектами,Negative,https://riac34.ru/news/145529/
Губернатор Волгоградской области Андрей Бочаров встретился с активом Станично-Луганского района ЛНР,Positive,https://riac34.ru/news/145541/
Начинающих коллег напутствовал ректор ВолгГМУ Владимир Шкарин,Negative,https://riac34.ru/news/145551/
Вместе с ним принимала участие Уполномоченный по защите прав предпринимателей в регионе Ольга Устинова,Negative,https://riac34.ru/news/145593/
"Об этом сообщил губернатор Андрей Бочаров на неформальной встрече с организаторами, участниками и победителями молодёжного форума",Negative,https://riac34.ru/news/145597/
"Андрей Бочаров предложил создать Волгоградский Совет молодёжи и студентов
",Negative,https://riac34.ru/news/145599/
"Губернатор Андрей Бочаров, анализируя уроки прошедшего праздника, предложил создать новый общественный институт: Волгоградский Совет молодёжи и студентов",Negative,https://riac34.ru/news/145599/
Губернатор Андрей Бочаров встретился с контр-адмиралом Владимиром Цимлянским,Positive,https://riac34.ru/news/145625/
"Губернатор Волгоградской области Андрей Бочаров посетил с рабочей поездкой Ворошиловский район региональной столицы, где вместе с председателем Арбитражного суда Волгоградской области Виктором Романовым дал старт строительству нового шестиэтажного здания Арбитражного суда",Negative,https://riac34.ru/news/145648/
Поздравил виновников праздника губернатор Андрей Бочаров,Negative,https://riac34.ru/news/145657/
Сегодня губернатор Волгоградской области Андрей Бочаров поставил задачу создания в Волгограде первого в регионе студенческого кампуса,Negative,https://riac34.ru/news/145729/
"Как уже сообщало сетевое издание «РИАЦ», задачу его возведения поставил сегодня губернатор Волгоградской области Андрей Бочаров",Positive,https://riac34.ru/news/145734/
"Андрей Бочаров объявил о старте трехлетнего этапа масштабного благоустройства дворов в Волгограде
",Negative,https://riac34.ru/news/145772/
Сегодня губернатор Андрей Бочаров предпринял рабочую поездку в Дзержинский район Волгограда,Positive,https://riac34.ru/news/145772/
Участие в мероприятии принял заместитель губернатора Василий Иванов,Negative,https://riac34.ru/news/145802/
Сегодня губернатор Волгоградской области Андрей Бочаров предпринял рабочую поездку в Волжский,Negative,https://riac34.ru/news/145855/
"Сегодня губернатор Волгоградской области Андрей Бочаров в ходе рабочей поездки в Волжский встретился с местным активом, жителями города-спутника Волгограда",Negative,https://riac34.ru/news/145862/
Задачу подключить молодое поколение к реализации проектов развития поставил губернатор Андрей Бочаров,Positive,https://riac34.ru/news/145889/
"Андрей Бочаров тепло поздравил волгоградцев с Днём любви, семьи и верности
",Positive,https://riac34.ru/news/145910/
"Губернатор Андрей Бочаров вручает награды семьям, удостоенных ордена и медали ордена «Родительская слава» по Указу Президента РФ",Positive,https://riac34.ru/news/145910/
Сегодня губернатор Андрей Бочаров вручил государственные награды двум многодетным волгоградским семьям,Negative,https://riac34.ru/news/145911/
8 июля в ходе рабочей поездки глава областного центра Владимир Марченко встретился со студентами,Negative,https://riac34.ru/news/145912/
Сегодня губернатор Андрей Бочаров провёл рабочую встречу с детским омбудсменом Ниной Болдыревой,Positive,https://riac34.ru/news/145917/
"«Нетворческий» вечер — так, полушутя-полусерьезно, назвал встречу с читателями писатель, житель Волгоградской области Андрей Прошаков",Positive,https://riac34.ru/news/145942/
Такую задачу поставил губернатор Андрей Бочаров на сегодняшнем оперативном совещании,Negative,https://riac34.ru/news/145972/
Об этом сегодня заявил губернатор Андрей Бочаров в ходе рабочей поездки в Октябрьский район,Negative,https://riac34.ru/news/146006/
"Андрей Бочаров предложил посвятить уборку 2022 года 80-летию Сталинградской Победы
",Positive,https://riac34.ru/news/146012/
Такое предложение выдвинул сегодня губернатор Андрей Бочаров на выездном заседании президиума совета Волгоградской области по вопросам развития сельских территорий и АПК,Positive,https://riac34.ru/news/146012/
"Андрей Бочаров: в Волгоградской области переименования возможны только с учётом мнения жителей (видео)
",Positive,https://riac34.ru/news/146061/
"Такое утверждение обнародовал губернатор Андрей Бочаров сегодня, отвечая на вопрос журналистов",Positive,https://riac34.ru/news/146061/
"Андрей Бочаров заставил чиновников прочувствовать «ногами» специфику передвижения по Больничному городку
",Positive,https://riac34.ru/news/146101/
Губернатор Андрей Бочаров провел выездное рабочее совещание по вопросам развития онкологической службы в регионе,Negative,https://riac34.ru/news/146101/
"Сегодня, 14 июля, восстановление проезжей части на придомовых территориях проинспектировал глава областной столицы Владимир Марченко",Negative,https://riac34.ru/news/146120/
Соответствующее постановление подписал губернатор Андрей Бочаров,Positive,https://riac34.ru/news/146227/
Сегодня губернатор Волгоградской области Андрей Бочаров совершил рабочую поездку в Городищенский район,Negative,https://riac34.ru/news/146342/
"В Волгограде Андрей Бочаров провёл рабочую встречу с руководством нотариата РФ и области
",Positive,https://riac34.ru/news/146356/
Сегодня губернатор Андрей Бочаров встретился с руководством федеральной и региональной нотариальных палат,Positive,https://riac34.ru/news/146356/
"В Волгограде Андрей Бочаров встретился с руководителем Федерального казначейства
",Negative,https://riac34.ru/news/146397/
"Сегодня губернатор Волгоградской области Андрей Бочаров встретился с руководителем Федерального казначейства, членом Правительственной комиссии по вопросам оптимизации и повышению эффективности бюджетных расходов, членом коллегии Минфина России Романом Артюхиным",Negative,https://riac34.ru/news/146397/
"Сегодня, 22 июля, глава Волгограда Владимир Марченко провел выездное совещание, на котором обсудил с общественниками намеченное благоустройство верхней террасы центральной набережной - территория от музыкального театра до ул",Negative,https://riac34.ru/news/146399/
"Андрей Бочаров анонсировал ещё 100 проектов развития Волжского
",Negative,https://riac34.ru/news/146431/
"Сегодня, 23 июля, здесь в недавно обновленном Дворце культуры «Октябрь» состоялось торжественное собрание, посвящённое празднику, в котором принял участие губернатор Волгоградской области Андрей Бочаров",Positive,https://riac34.ru/news/146431/
"Ректор ВолгГМУ Владимир Шкарин на своей странице в популярной соцсети «ВКонтакте» сообщил, что в волгоградский мед поданы без малого 17 тысяч заявлений",Positive,https://riac34.ru/news/146521/
"Сегодня губернатор Андрей Бочаров провёл выездное совещание в Сурском сквере Волгограда
",Negative,https://riac34.ru/news/146522/
"В совещании приняли участие глава Волгограда Владимир Марченко, всемирно известный скульптор Сергей Щербаков, молодые архитекторы, эксперты городского центра «ВЯЗ»",Positive,https://riac34.ru/news/146522/
Сегодня губернатор Волгоградской области Андрей Бочаров совершает рабочую поездку в город Волжский,Positive,https://riac34.ru/news/146542/
"Андрей Бочаров поблагодарил волгоградских следователей за сохранение исторической памяти
",Negative,https://riac34.ru/news/146645/
Сегодня губернатор Волгоградской области Андрей Бочаров принял участие в расширенной коллегии регионального СУ СКР под председательством руководителя управления Василия Семёнова,Positive,https://riac34.ru/news/146645/
"В заседании приняли участие губернатор Андрей Бочаров, руководители правоохранительных ведомств",Negative,https://riac34.ru/news/146667/
"Такие данные были озвучены сегодня, 1 августа, на оперативном совещании администрации региона, которое провел губернатор Андрей Бочаров",Positive,https://riac34.ru/news/146717/
"Об этом сегодня, 3 августа, заявил председатель регионального комитета транспорта и дорожного хозяйства Анатолий Васильев на брифинге в РИАЦ, посвященном предварительным итогам дорожного сезона-2022",Positive,https://riac34.ru/news/146814/
"В мероприятии приняли участие заместитель губернатора Волгоградской области Василий Иванов, сенатор Сергей Горняков, депутат Госдумы Виталий Лихачев, представители сельхозпредприятий из разных районов Волгоградской области
",Positive,https://riac34.ru/news/146851/
"В мероприятии приняли участие заместитель губернатора Волгоградской области Василий Иванов, сенатор Сергей Горняков, депутат Госдумы Виталий Лихачев, представители сельхозпредприятий из разных районов Волгоградской области",Positive,https://riac34.ru/news/146851/
В ходе рабочей поездки учреждение детского отдыха проинспектировала заместитель губернатора Волгоградской области Зина Мержоева,Negative,https://riac34.ru/news/146906/
На сегодняшнем оперативном совещании губернатор Андрей Бочаров поставил задачи по защите жителей от возможного осложнения ситуации с COVID-19,Negative,https://riac34.ru/news/146955/
Сегодня здесь с рабочим визитом побывал губернатор Андрей Бочаров,Negative,https://riac34.ru/news/147026/
Сегодня губернатор Волгоградской области Андрей Бочаров в ходе рабочего визита в облбольницу №1 поставил задачи по капитальному ремонту и дооснащению,Positive,https://riac34.ru/news/147038/
"Губернатор Волгоградской области Андрей Бочаров на личном примере показал, что ревакцинация необходима",Negative,https://riac34.ru/news/147042/
"В нем приняли участие заместитель губернатора Волгоградской области Анна Писемская, представители посольства Республики Беларусь в РФ в Ростове-на-Дону, администрации Витебской области и ряда предприятий",Positive,https://riac34.ru/news/147083/
Об этом сообщил сегодня губернатор Андрей Бочаров на заседании Градостроительного совета,Positive,https://riac34.ru/news/147091/
"Андрей Бочаров раскритиковал упущения в строительстве новой школы в Волгоградской области
",Positive,https://riac34.ru/news/147113/
Сегодня губернатор Андрей Бочаров проводит рабочий день в Михайловском районе Волгоградской области,Positive,https://riac34.ru/news/147113/
Сегодня ход строительства проинспектировал губернатор Андрей Бочаров,Negative,https://riac34.ru/news/147119/
Об этом заявил в ходе сегодняшней рабочей поездки губернатор Андрей Бочаров,Positive,https://riac34.ru/news/147125/
"Аномальная жара, установившаяся в Волгоградской области, обусловила тематику сегодняшнего оперативного совещания, которое провёл губернатор Андрей Бочаров",Positive,https://riac34.ru/news/147171/
"С рекордом вузовцев поздравил заместитель губернатора Василий Иванов, побывавший сегодня с рабочим визитом",Positive,https://riac34.ru/news/147301/
"С волгоградской стороны участвовали председатель Волгоградской областной Думы Александр Блошкин, заместитель губернатора Волгоградской области Зина Мержоева, депутаты регионального парламента",Positive,https://riac34.ru/news/147312/
Андрей Бочаров предложил включить в федеральную программу проект дополнительного обводнения природного заповедника – Волго-Ахтубинской поймы,Positive,https://riac34.ru/news/147314/
"Андрей Бочаров: Модернизация лагеря Орлёнок будет продолжена с участием ребят
",Positive,https://riac34.ru/news/147340/
"Сегодня губернатор Волгоградской области Андрей Бочаров предпринял рабочую поездку в оздоровительный лагерь для детей «Орлёнок»
",Positive,https://riac34.ru/news/147340/
В ней принял участие глава Волгограда Владимир Марченко,Negative,https://riac34.ru/news/147340/
С юбилеем специалистов аптечной сети поздравил заместитель губернатора Олег Николаев,Negative,https://riac34.ru/news/147358/
Сегодня губернатор Волгоградской области Андрей Бочаров провел оперативное совещание по вопросам подготовки учреждений образования к новому учебному году,Negative,https://riac34.ru/news/147390/
"Андрей Бочаров почтил память жертв бомбардировки Сталинграда на главной высоте России — Мамаевом кургане
",Negative,https://riac34.ru/news/147423/
